file	rule	baseline_errors	baseline_warnings	current_errors	current_warnings	delta_errors	delta_warnings	delta_total
.local/custom_skills/website-bug-hunt/scripts/helpers.js	parsing-error	0	0	1	0	1	0	1
.local/custom_skills/website-bug-hunt/scripts/run.js	parsing-error	0	0	1	0	1	0	1
.local/prod-cleanup/execute-cleanup.mjs	parsing-error	0	0	1	0	1	0	1
.local/qa_wp6_promote.mts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/_probe.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_authdetail.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_category.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_home.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_journey.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_related_066.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_responsive.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_search_040.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_search.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_smoke.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_submit_098.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/b_submit.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/baseline.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/browser.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/cleanup.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/dv_browser.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/dv064.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/dv150.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/dv165_final.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/finalize.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/getslugs.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/lib.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/probe_pending.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/q.ts	parsing-error	0	0	1	0	1	0	1
.local/qa-dv/q2.ts	parsing-error	0	0	1	0	1	0	1
